都道府県コード,都道府県名,人口,男性,女性
0,全国,126443,61532,64911
1,北海道,5286,2489,2797
2,青森県,1263,593,670
3,岩手県,1241,598,643
4,宮城県,2316,1132,1184
5,秋田県,981,461,520
6,山形県,1090,526,565
7,福島県,1864,923,941
8,茨城県,2877,1435,1442
9,栃木県,1946,969,977
10,群馬県,1952,965,987
11,埼玉県,7330,3658,3672
12,千葉県,6255,3105,3150
13,東京都,13822,6802,7020
14,神奈川県,9177,4576,4601
15,新潟県,2246,1088,1157
16,富山県,1050,510,541
17,石川県,1143,555,589
18,福井県,774,376,398
19,山梨県,817,400,417
20,長野県,2063,1006,1057
21,岐阜県,1997,968,1029
22,静岡県,3659,1803,1856
23,愛知県,7537,3770,3767
24,三重県,1791,874,917
25,滋賀県,1412,697,715
26,京都府,2591,1238,1353
27,大阪府,8813,4232,4581
28,兵庫県,5484,2614,2870
29,奈良県,1339,631,708
30,和歌山県,935,440,495
31,鳥取県,560,268,293
32,島根県,680,328,352
33,岡山県,1898,912,986
34,広島県,2817,1367,1450
35,山口県,1370,650,720
36,徳島県,736,351,385
37,香川県,962,466,496
38,愛媛県,1352,639,713
39,高知県,706,333,373
40,福岡県,5107,2416,2691
41,佐賀県,819,388,432
42,長崎県,1341,631,710
43,熊本県,1757,829,928
44,大分県,1144,542,602
45,宮崎県,1081,509,572
46,鹿児島県,1614,758,856
47,沖縄県,1448,712,736
#source: https://www.e-stat.go.jp/dbview?sid=0003312315
#as of 2018-10-01
