Name_en,Name_ja,地方,ISO/JIS
Hokkaidō,北海道,北海道,1
Aomori,青森県,東北,2
Iwate,岩手県,東北,3
Miyagi,宮城県,東北,4
Akita,秋田県,東北,5
Yamagata,山形県,東北,6
Fukushima,福島県,東北,7
Ibaraki,茨城県,関東,8
Tochigi,栃木県,関東,9
Gunma,群馬県,関東,10
Saitama,埼玉県,関東,11
Chiba,千葉県,関東,12
Tōkyō,東京都,関東,13
Kanagawa,神奈川県,関東,14
Niigata,新潟県,中部,15
Toyama,富山県,中部,16
Ishikawa,石川県,中部,17
Fukui,福井県,中部,18
Yamanashi,山梨県,中部,19
Nagano,長野県,中部,20
Gifu,岐阜県,中部,21
Shizuoka,静岡県,中部,22
Aichi,愛知県,中部,23
Mie,三重県,近畿,24
Shiga,滋賀県,近畿,25
Kyōto,京都府,近畿,26
Ōsaka,大阪府,近畿,27
Hyōgo,兵庫県,近畿,28
Nara,奈良県,近畿,29
Wakayama,和歌山県,近畿,30
Tottori,鳥取県,中国,31
Shimane,島根県,中国,32
Okayama,岡山県,中国,33
Hiroshima,広島県,中国,34
Yamaguchi,山口県,中国,35
Tokushima,徳島県,四国,36
Kagawa,香川県,四国,37
Ehime,愛媛県,四国,38
Kōchi,高知県,四国,39
Fukuoka,福岡県,九州,40
Saga,佐賀県,九州,41
Nagasaki,長崎県,九州,42
Kumamoto,熊本県,九州,43
Ōita,大分県,九州,44
Miyasaki,宮崎県,九州,45
Kagoshima,鹿児島県,九州,46
Okinawa,沖縄県,沖縄,47
# source: https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C
